10:01:30.105 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ACCOUNT-MICROSERVICE/LTIN287456.cts.com:account-microservice:8003 - registration status: 204
10:01:30.173 [restartedMain] INFO  c.c.a.AccountMicroserviceApplication - Started AccountMicroserviceApplication in 10.695 seconds (JVM running for 12.162)
10:06:19.847 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
10:06:19.862 [Thread-1] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application ACCOUNT-MICROSERVICE with eureka with status DOWN
10:06:19.863 [Thread-1] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1661920579863, current=DOWN, previous=UP]
10:06:19.865 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ACCOUNT-MICROSERVICE/LTIN287456.cts.com:account-microservice:8003: registering service...
10:06:19.877 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ACCOUNT-MICROSERVICE/LTIN287456.cts.com:account-microservice:8003 - registration status: 204
10:06:19.894 [Thread-1] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8003"]
10:06:19.894 [Thread-1] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
10:06:19.901 [Thread-1] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8003"]
10:06:19.906 [Thread-1] INFO  o.a.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8003"]
10:06:19.915 [Thread-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
10:06:19.921 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
10:06:19.941 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
10:06:19.942 [Thread-1] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
10:06:22.955 [Thread-1] INFO  c.netflix.discovery.DiscoveryClient - Unregistering ...
10:06:22.965 [Thread-1] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ACCOUNT-MICROSERVICE/LTIN287456.cts.com:account-microservice:8003 - deregister  status: 200
10:06:22.976 [Thread-1] INFO  c.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
